,datetimehourly,weathertype
725,1/2/17 8:00,1
726,1/2/17 9:00,1
727,1/2/17 10:00,1
728,1/2/17 11:00,1
729,1/2/17 12:00,1
730,1/2/17 13:00,1
731,1/2/17 14:00,1
732,1/2/17 15:00,1
733,1/2/17 16:00,1
734,1/2/17 17:00,1
735,1/2/17 18:00,1
736,1/2/17 19:00,1
737,1/2/17 20:00,1
738,1/2/17 21:00,1
739,1/2/17 22:00,1
740,1/2/17 23:00,1
741,1/3/17 0:00,1
742,1/3/17 1:00,1
743,1/3/17 2:00,1
744,1/3/17 3:00,1
745,1/3/17 4:00,1
746,1/3/17 5:00,1
747,1/3/17 6:00,1
748,1/3/17 7:00,1
749,1/3/17 8:00,1
750,1/3/17 9:00,1
751,1/3/17 10:00,1
752,1/3/17 11:00,1
753,1/3/17 12:00,1
754,1/3/17 13:00,1
755,1/3/17 14:00,1
756,1/3/17 15:00,1
757,1/3/17 16:00,1
758,1/3/17 17:00,1
759,1/3/17 18:00,1
760,1/3/17 19:00,1
761,1/3/17 20:00,1
762,1/3/17 21:00,1
763,1/3/17 22:00,1
764,1/3/17 23:00,1
765,1/4/17 0:00,1
766,1/4/17 1:00,1
767,1/4/17 2:00,1
768,1/4/17 3:00,1
769,1/4/17 4:00,1
770,1/4/17 5:00,1
771,1/4/17 6:00,1
772,1/4/17 7:00,1
773,1/4/17 8:00,1
774,1/4/17 9:00,1
775,1/4/17 10:00,1
776,1/4/17 11:00,1
777,1/4/17 12:00,1
778,1/4/17 13:00,1
779,1/4/17 14:00,1
780,1/4/17 15:00,1
781,1/4/17 16:00,1
782,1/4/17 17:00,1
783,1/4/17 18:00,1
784,1/4/17 19:00,1
785,1/4/17 20:00,1
786,1/4/17 21:00,1
787,1/4/17 22:00,1
788,1/4/17 23:00,1
789,1/5/17 0:00,1
790,1/5/17 1:00,1
791,1/5/17 2:00,1
792,1/5/17 3:00,1
793,1/5/17 4:00,1
794,1/5/17 5:00,1
795,1/5/17 6:00,1
796,1/5/17 7:00,1
797,1/5/17 8:00,1
798,1/5/17 9:00,1
799,1/5/17 10:00,1
800,1/5/17 11:00,1
801,1/5/17 12:00,1
802,1/5/17 13:00,1
803,1/5/17 14:00,1
804,1/5/17 15:00,1
805,1/5/17 16:00,1
806,1/5/17 17:00,1
807,1/5/17 18:00,1
808,1/5/17 19:00,1
809,1/5/17 20:00,1
810,1/5/17 21:00,1
811,1/5/17 22:00,1
812,1/5/17 23:00,1
813,1/6/17 0:00,1
814,1/6/17 1:00,1
815,1/6/17 2:00,1
816,1/6/17 3:00,1
817,1/6/17 4:00,1
818,1/6/17 5:00,1
819,1/6/17 6:00,1
820,1/6/17 7:00,1
821,1/6/17 8:00,1
822,1/6/17 9:00,1
823,1/6/17 10:00,1
824,1/6/17 11:00,1
825,1/6/17 12:00,1
826,1/6/17 13:00,1
827,1/6/17 14:00,1
828,1/6/17 15:00,1
829,1/6/17 16:00,1
830,1/6/17 17:00,1
831,1/6/17 18:00,1
832,1/6/17 19:00,1
833,1/6/17 20:00,1
834,1/6/17 21:00,1
835,1/6/17 22:00,1
836,1/6/17 23:00,1
837,1/7/17 0:00,1
838,1/7/17 1:00,1
839,1/7/17 2:00,1
840,1/7/17 3:00,1
