,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
440,12/21/16 7:00,0,0,0,0,0
441,12/21/16 8:00,0,0,0,0,0
442,12/21/16 9:00,0,0,0,0,0
443,12/21/16 10:00,0,0,0,0,0
444,12/21/16 11:00,0,0,0,0,0
445,12/21/16 12:00,59.72,3.984,0,1,1
446,12/21/16 13:00,46.44,3.098,0,1,1
447,12/21/16 14:00,0,0,0,0,0
448,12/21/16 15:00,0,0,0,0,0
449,12/21/16 16:00,0,0,0,0,0
450,12/21/16 17:00,0,0,0,0,0
451,12/21/16 18:00,0,0,0,0,0
452,12/21/16 19:00,0,0,0,0,0
453,12/21/16 20:00,0,0,0,0,0
454,12/21/16 21:00,0,0,0,0,0
455,12/21/16 22:00,0,0,0,0,0
456,12/21/16 23:00,0,0,0,0,0
457,12/22/16 0:00,0,0,0,0,0
458,12/22/16 1:00,0,0,0,0,0
459,12/22/16 2:00,0,0,0,0,0
460,12/22/16 3:00,0,0,0,0,0
461,12/22/16 4:00,0,0,0,0,0
462,12/22/16 5:00,0,0,0,0,0
463,12/22/16 6:00,19.97,1.332,0,1,1
464,12/22/16 7:00,0,0,0,0,0
465,12/22/16 8:00,0,0,0,0,0
466,12/22/16 9:00,0,0,0,0,0
467,12/22/16 10:00,0,0,0,0,0
468,12/22/16 11:00,0,0,0,0,0
469,12/22/16 12:00,0,0,0,0,0
470,12/22/16 13:00,0,0,0,0,0
471,12/22/16 14:00,0,0,0,0,0
472,12/22/16 15:00,0,0,0,0,0
473,12/22/16 16:00,0,0,0,0,0
474,12/22/16 17:00,0,0,0,0,0
475,12/22/16 18:00,30.32,2.023,1,0,1
476,12/22/16 19:00,58.96,3.933,0,1,1
477,12/22/16 20:00,0,0,0,0,0
478,12/22/16 21:00,0,0,0,0,0
479,12/22/16 22:00,106.65,7.115,0,2,2
480,12/22/16 23:00,0,0,0,0,0
481,12/23/16 0:00,0,0,0,0,0
482,12/23/16 1:00,0,0,0,0,0
483,12/23/16 2:00,0,0,0,0,0
484,12/23/16 3:00,0,0,0,0,0
485,12/23/16 4:00,0,0,0,0,0
486,12/23/16 5:00,0,0,0,0,0
487,12/23/16 6:00,0,0,0,0,0
488,12/23/16 7:00,58.6,3.909,0,1,1
489,12/23/16 8:00,0,0,0,0,0
490,12/23/16 9:00,0,0,0,0,0
491,12/23/16 10:00,0,0,0,0,0
492,12/23/16 11:00,53.05,3.539,0,1,1
493,12/23/16 12:00,61.37,4.094,0,1,1
494,12/23/16 13:00,118.3,7.892,0,2,2
495,12/23/16 14:00,84.49,5.636,0,2,2
496,12/23/16 15:00,0,0,0,0,0
497,12/23/16 16:00,57.47,3.834,0,1,1
498,12/23/16 17:00,68.56,4.574,0,1,1
499,12/23/16 18:00,0,0,0,0,0
500,12/23/16 19:00,0,0,0,0,0
501,12/23/16 20:00,0,0,0,0,0
502,12/23/16 21:00,0,0,0,0,0
503,12/23/16 22:00,0,0,0,0,0
504,12/23/16 23:00,0,0,0,0,0
505,12/24/16 0:00,0,0,0,0,0
506,12/24/16 1:00,0,0,0,0,0
507,12/24/16 2:00,0,0,0,0,0
508,12/24/16 3:00,0,0,0,0,0
509,12/24/16 4:00,0,0,0,0,0
510,12/24/16 5:00,0,0,0,0,0
511,12/24/16 6:00,0,0,0,0,0
512,12/24/16 7:00,51.33,3.424,1,0,1
513,12/24/16 8:00,0,0,0,0,0
514,12/24/16 9:00,0,0,0,0,0
515,12/24/16 10:00,53.03,3.538,0,1,1
516,12/24/16 11:00,101.02,6.739,0,2,2
517,12/24/16 12:00,0,0,0,0,0
518,12/24/16 13:00,115.16,7.682,0,2,2
519,12/24/16 14:00,0,0,0,0,0
520,12/24/16 15:00,0,0,0,0,0
521,12/24/16 16:00,55.51,3.703,0,1,1
522,12/24/16 17:00,109.69,7.318,0,2,2
523,12/24/16 18:00,0,0,0,0,0
524,12/24/16 19:00,56.59,3.775,0,1,1
525,12/24/16 20:00,0,0,0,0,0
526,12/24/16 21:00,60.93,4.065,0,1,1
527,12/24/16 22:00,0,0,0,0,0
528,12/24/16 23:00,0,0,0,0,0
529,12/25/16 0:00,0,0,0,0,0
530,12/25/16 1:00,0,0,0,0,0
531,12/25/16 2:00,0,0,0,0,0
532,12/25/16 3:00,0,0,0,0,0
533,12/25/16 5:00,0,0,0,0,0
534,12/25/16 6:00,0,0,0,0,0
535,12/25/16 7:00,0,0,0,0,0
536,12/25/16 8:00,0,0,0,0,0
537,12/25/16 9:00,0,0,0,0,0
538,12/25/16 10:00,0,0,0,0,0
539,12/25/16 11:00,0,0,0,0,0
540,12/25/16 12:00,0,0,0,0,0
541,12/25/16 13:00,13.24,0.883,0,1,1
542,12/25/16 14:00,32.59,2.174,0,1,1
543,12/25/16 15:00,0,0,0,0,0
544,12/25/16 16:00,0,0,0,0,0
545,12/25/16 17:00,0,0,0,0,0
546,12/25/16 18:00,0,0,0,0,0
547,12/25/16 19:00,0,0,0,0,0
548,12/25/16 20:00,0,0,0,0,0
549,12/25/16 21:00,56.26,3.753,0,1,1
550,12/25/16 22:00,0,0,0,0,0
551,12/25/16 23:00,51.63,3.444,0,1,1
552,12/26/16 0:00,39.62,2.643,1,0,1
553,12/26/16 1:00,0,0,0,0,0
554,12/26/16 2:00,0,0,0,0,0
555,12/26/16 4:00,0,0,0,0,0
556,12/26/16 5:00,0,0,0,0,0
557,12/26/16 6:00,0,0,0,0,0
558,12/26/16 7:00,0,0,0,0,0
559,12/26/16 8:00,0,0,0,0,0
560,12/26/16 9:00,0,0,0,0,0
561,12/26/16 10:00,0,0,0,0,0
562,12/26/16 11:00,222.72,14.858,0,4,4
563,12/26/16 12:00,57.35,3.826,0,1,1
564,12/26/16 13:00,84.77,5.655,0,2,2
565,12/26/16 14:00,52.6,3.509,1,0,1
566,12/26/16 15:00,51.75,3.452,1,1,2
567,12/26/16 16:00,69.81,4.657,0,1,1
568,12/26/16 17:00,44.24,2.951,0,1,1
569,12/26/16 18:00,53.99,3.602,0,1,1
